Title,Description,ISBN,Publish Year,Cover Image URL,Borrow Link
The Phoenix and the Carpet,No Description Available,9781404324336,2002-09-01,http://books.google.com/books/content?id=xlVUPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL99539W
Lady Susan,"""Lady Susan"", Austen's ""most wicked tale, and ""it is a short epistolary novel by Jane Austen, possibly written in 1794 but not published until 1871. Lady Susan is a selfish, attractive woman, who tries to trap the best possible husband while maintaining a relationship with a married man. She subverts all the standards of the romantic novel; she has an active role, she's not only beautiful but intelligent and witty, and her suitors are significantly younger than she is. Some Other Books of Austen: - Pride and Prejudice (1813) - Sense and Sensibility (1811) - Emma (1816) - Persuasion (1818) - Mansfield Park (1814) - Northanger Abbey (1817) - Juvenilia – Volume II (1790) - Juvenilia – Volume I (1790) - Juvenilia – Volume III (1790)",9786052259191,2024-01-21,http://books.google.com/books/content?id=Eo_vEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL66614W
The Kite Runner,"THE NUMBER ONE BESTSELLER 'Devastating' Daily Telegraph 'Heartbreaking' The Times 'Unforgettable' Isabel Allende 'Haunting' Independent Afghanistan, 1975: Twelve-year-old Amir is desperate to win the local kite-fighting tournament and his loyal friend Hassan promises to help him. But neither of the boys can foresee what will happen to Hassan that afternoon, an event that is to shatter their lives. After the Russians invade and the family is forced to flee to America, Amir realises that one day he must return to Afghanistan under Taliban rule to find the one thing that his new world cannot grant him: redemption.",9781526634054,2020-11-12,http://books.google.com/books/content?id=KUMIEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL5781992W
Genji Monogatari,"The Tale of Genji Monogatari is a classic work of Japanese literature attributed to the Japanese noblewoman Murasaki Shikibu in the early eleventh century, around the peak of the Heian Period. It is sometimes called the world's first novel, the first modern novel.",9781625584083,2013-01-18,http://books.google.com/books/content?id=4zLsAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL2564006W
Persuasion,"The story concerns Anne Elliot, a young Englishwoman of 27 years, whose family is moving to lower their expenses and get out of debt, at the same time as the wars come to an end, putting sailors on shore. They rent their home to an Admiral and his wife. The wife's brother, Navy Captain Frederick Wentworth, had been engaged to Anne in 1806, and now they meet again, both single and unattached, after no contact in more than seven years.",9783754991930,2023-03-02,http://books.google.com/books/content?id=ZIGxEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL66544W
The Scarlet Pimpernel,"A THRILLING TALE OF HEROISM AND ROMANCE The Scarlet Pimpernel is the first in a series of historical fiction by Baroness Emma Orczy, a Hungarian-born English writer, playwright and artist. First published in1905, it was set during the Reign of Terror following the start of the French Revolution which occurred in the latter part of the eighteenth century and involved the overthrow of the French monarchy. This classic adventure novel tells the story of Sir Percy Blakeney, a wealthy, chivalrous Englishman, sympathetic to the crisis in the aristocratic ranks, and who, using a secret identity, is a daring rescuer who sneaks French royals out of the country to safety across the English Channel before they can be sent to the guillotine. Blakeney leads a double life, appearing to be nothing more than a meek, ineffectual wealthy man overly concerned with his clothes and appearance, while in reality he is an excellent swordsman, a quick-thinking master of disguise and an escape artist. He is supported by a band of gentlemen who are the only ones who know of his secret identity. Upon making a clean escape from the French patrols, Blakeney leaves a note describing the caper, which is signed with a red, star-shaped flower the English call a scarlet pimpernel. Starring a colorful cast of characters and an exciting plot line, this classic novel is an unforgettable reading experience that will leave you craving more. A timeless classic that has captivated readers for over a century this thrilling tale of romance and heroism has inspired other superheroes who also cultivate a secret identity, including Superman, Batman, and Zorro.",9781722525439,2024-10-08,http://books.google.com/books/content?id=yaAhEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL1253285W
Whose Body?,"Whose Body? is a 1923 mystery novel by Dorothy L. Sayers, in which she introduced the character of Lord Peter Wimsey.",9798590094356,2021-01-03,,https://openlibrary.org/works/OL2234917W
The Enchanted Castle (Illustrated Edition),"The Enchanted Castle is a country estate in the West Country seen through the eyes of three children – Gerald, James and Kathleen, who discover it while exploring during the school holidays. The lake, groves and marble statues, with white towers and turrets in the distance, make a fairy-tale setting, and then in the middle of the maze in the rose garden they find a sleeping fairy-tale princess. Edith Nesbit (1858-1924) was the author of world famous books for children - the tales of fantastical adventures, journeys back in time and travel to magical worlds.",,2022-11-13,http://books.google.com/books/content?id=OEOVEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL99541W
The Woman in White,No Description Available,,1860,http://books.google.com/books/content?id=wl0VAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL176045W
THE BLUE CASTLE (Unabridged),"This carefully crafted ebook: ""THE BLUE CASTLE (Unabridged)"" is formatted for your eReader with a functional and detailed table of contents. Valancy Stirling is twenty-nine, unmarried, and has lived her entire life with her gossip-minded family who actively discourage her happiness. When Valancy is diagnosed with a terminal heart ailment, she realizes she has never been happy in her life, and rebels against her family. Valancy decides to move out of her mother's house and take a position as a housekeeper for a friend of hers who is now gravely ill, Cissy Gay. Cissy and Valancy share a room and start spending time with Barney Snaith, who the townspeople are convinced is a criminal... The story takes place in the early 1920s in the fictional town of Deerwood, located in the Muskoka region of Ontario and based on the town of Bala, which Montgomery visited once. Lucy Maud Montgomery (1874-1942) was a Canadian author best known for a series of novels with Anne of Green Gables, an orphaned girl, mistakenly sent to a couple, who had intended to adopt a boy. Anne novels made Montgomery famous in her lifetime and gave her an international following. Montgomery went on to publish 20 novels as well as 530 short stories, 500 poems, and 30 essays. Most of the novels were set in Prince Edward Island, and locations within Canada's smallest province became a literary landmark and popular tourist site.",,2024-01-12,http://books.google.com/books/content?id=8xzmEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL77775W
The Moonstone,"Intrigue, investigations, thievery, drugs and murder all make an appearance in Collins’s classic who-done-it, The Moonstone. Published in serial form in 1868, it was inspired in part by a spectacular murder case widely reported in the early 1860s. Collins’s story revolves around a diamond stolen from a Hindu holy place. On her eighteenth birthday, Rachel Verinder receives the diamond, but by the following morning the stone has been stolen again. As the story unravels through multiple eyewitness accounts, the elderly Sergeant Cuff—with a face “sharp as a hatchet”—looks for the culprit. One of Collins’s best-loved novels, with an exciting plot moved along by deftly-drawn characters and elegant pacing, The Moonstone was also turned into a play by Collins; the play appears as an appendix to this edition.",9781551112435,1999-03-09,http://books.google.com/books/content?id=lnt9aiCrpR4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL176092W
King Solomon's Mines,No Description Available,9788120754348,1887,http://books.google.com/books/content?id=qBe_yFx-HeYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL17449W
Dracula,"National Theatre, Washington, D.C., direction A.L. Erlanger and W.H. Rapley, business management: S.E. Cochran, Horace Liveright presents ""Dracula,"" the vampire play, dramatized by Hamilton Deane and John L. Balderston from Bram Stoker's world-famous novel ""Dracula,"" staged by Ira Hards, scenes by Joseph Physioc",9783961642465,1897,http://books.google.com/books/content?id=HSFXAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL85892W
Pride and Prejudice,No Description Available,,1853,http://books.google.com/books/content?id=kQ0mAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL66554W
The Foundation Trilogy,"""When the Galactic Empire began to die, when the ends of the Galaxy reverted to Barbarism and dropped away, Hari Seldon and his band of psychologists planted a colony-the Foundation-to incubate art, science, and technology, and form the nucleus of the Second Empire. The course of the Foundation's growth was plotted according to the science of psychohistory-conditions were arranged to bring about a series of crises forcing it to move rapidly along the route to future Empire ...""--Front jacket flap",,1951,http://books.google.com/books/content?id=THMeAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL46125W
The Complete Sherlock Holmes,The complete Sherlock Holmes contains everything written by Conan Doyle on the legendary private investigator. In a single volume all the novels and stories that have passionate all in the world for over 130 years,9783963619496,2018-03-02,http://books.google.com/books/content?id=J954DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL262554W
Catch-22,"Discover Joseph Heller's hilarious and tragic satire on military madness, and the tale of one man's efforts to survive it. It's the closing months of World War II and Yossarian has never been closer to death. Stationed in an American bomber squadron off the coast of Italy, each flight mission introduces him to thousands of people determined to kill him. But the enemy above is not Yossarian's problem - it is his own army intent on keeping him airborne, and the maddening 'Catch-22' that allows for no possibility of escape. 'The greatest satirical work in the English language' Observer 'The most devastating satire ever written about the lunacy of war and military bureaucracy' Antony Beevor INTRODUCED BY HOWARD JACOBSON",9781446424049,2011-06-08,http://books.google.com/books/content?id=qBlJNb9dhEkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL276798W
Northanger Abbey,"Story follows the social and romantic trials of the book's heroine, Catherine Morland.",9781853260438,1993,http://books.google.com/books/content?id=jpH64hVZ9w0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL66534W
Breakfast at Tiffany's,"Holly Golightly knows that nothing bad can ever happen to you at Tiffany's. In this seductive, wistful masterpiece, Capote created a woman whose name has entered the American idiom and whose style is a part of the literary landscape—her poignancy, wit, and naïveté continue to charm. This volume also includes three of Capote's best-known stories, “House of Flowers,” “A Diamond Guitar,” and “A Christmas Memory,” which the Saturday Review called “one of the most moving stories in our language.” It is a tale of two innocents—a small boy and the old woman who is his best friend—whose sweetness contains a hard, sharp kernel of truth.",9780345803054,2012-05-15,http://books.google.com/books/content?id=UwWWh1WLn9EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL1992167W
Anna Karenina,"Love... it means too much to me, far more than you can understand. At its simplest, Anna Karenina is a love story. It is a portrait of a beautiful and intelligent woman whose passionate love for a handsome officer sweeps aside all other ties - to her marriage and to the network of relationships and moral values that bind the society around her. The love affair of Anna and Vronsky is played out alongside the developing romance of Kitty and Levin, and in the character of Levin, closely based on Tolstoy himself, the search for happiness takes on a deeper philosophical significance. One of the greatest novels ever written, Anna Karenina combines penetrating psychological insight with an encyclopedic depiction of Russian life in the 1870s. The novel takes us from high society St Petersburg to the threshing fields on Levin's estate, with unforgettable scenes at a Moscow ballroom, the skating rink, a race course, a railway station. It creates an intricate labyrinth of connections that is profoundly satisfying, and deeply moving. Rosamund Bartlett's translation conveys Tolstoy's precision of meaning and emotional accuracy in an English version that is highly readable and stylistically faithful. Like her acclaimed biography of Tolstoy, it is vivid, nuanced, and compelling.",9780191662249,2014-08-28,http://books.google.com/books/content?id=fkf1AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL267096W
Carrie,Make a date with terror -- and live the nightmare that is ...,9780671039738,2000-09,http://books.google.com/books/content?id=gm1_ZjzjEboC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL81626W
The Great Gatsby,"The only edition of the beloved classic that is authorized by Fitzgerald’s family and from his lifelong publisher. This edition is the enduring original text, updated with the author’s own revisions, a foreword by his granddaughter, and with a new introduction by National Book Award winner Jesmyn Ward. The Great Gatsby, F. Scott Fitzgerald’s third book, stands as the supreme achievement of his career. First published by Scribner in 1925, this quintessential novel of the Jazz Age has been acclaimed by generations of readers. The story of the mysteriously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan is an exquisitely crafted tale of America in the 1920s.",9780743246392,2003-05-27,http://books.google.com/books/content?id=iXn5U2IzVH0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL468431W
The Bell Jar,"'A modern classic.' Guardian'A near-perfect work of art.' Joyce Carol OatesI was supposed to be having the time of my life . . . Working as an intern for a New York fashion magazine in the summer of 1953, Esther Greenwood is on the brink of her future. Yet she is also on the edge of a darkness that makes her world increasingly unreal. Esther's vision of the world shimmers and shifts: day-to-day living in the sultry city, her crazed men-friends, the hot dinner dances . . . The Bell Jar, Sylvia Plath's only novel, is partially based on Plath's own life. It has been celebrated for its darkly funny and razor sharp portrait of 1950s society, and has sold millions of copies worldwide.ONE OF THE BBC'S '100 NOVELS THAT SHAPED OUR WORLD''As clear and readable as it is witty and disturbing.' New York Times Book ReviewReader responses:'Plath's underrated humour shines through this startling account of 1950s 'normality'.''Very readable, often darkly funny, and feels fresh.' 'Plath's masterpiece . . . It's amazing how relevant this book still is.' 'So enthralling . . . So thought provoking, so vivid, that it's thoroughly engrossing.' 'I just couldn't put it down.' 'Ever better than I expected.'",9780571248209,2008-11-20,http://books.google.com/books/content?id=1cL81MLdPWcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL1865528W
Sense and Sensibility,No Description Available,,1833,http://books.google.com/books/content?id=bcUNAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL66562W
Best Work of George MacDonald: Phantastes: A Faerie Romance for Men and Women and The Princess and the Goblin,"Embark on a Journey of Enchantment with ""MacDonald's Magical Tales: Exploring Faerie Realms and Brave Adventures"" Prepare to be whisked away to realms of wonder and bravery with this enchanting 2 Ebook combo, featuring the timeless works of George MacDonald. Book 1: Phantastes: A Faerie Romance for Men and Women by George MacDonald Step into the magical world of Faerie with ""Phantastes,"" where dreams and reality intertwine in a mesmerizing tapestry of adventure and romance. Follow the journey of Anodos as he discovers a mysterious mirror that transports him to an enchanting realm filled with fantastical creatures and breathtaking landscapes. With MacDonald's lyrical prose and vivid imagination, this tale will captivate readers of all ages and ignite their sense of wonder. Book 2: The Princess and the Goblin by George MacDonald Join Princess Irene on a courageous quest to defeat the malevolent goblins lurking beneath the mountains in ""The Princess and the Goblin."" With the help of her loyal friend Curdie, Irene embarks on an epic adventure filled with danger, friendship, and the power of love. MacDonald's timeless tale reminds readers of the importance of bravery and kindness in the face of darkness, making it a beloved classic for generations to come. Immerse yourself in the enchanting worlds of MacDonald's imagination, where every page is filled with magic and wonder. Will you answer the call to adventure and bravery, or will you remain in the safety of the ordinary? Embark on a Journey of Courage and Magic! As you lose yourself in ""MacDonald's Magical Tales,"" one question beckons: Can you unlock the secrets of Faerie and overcome the challenges that lie ahead? Let MacDonald's timeless stories inspire you to embrace the unknown and embark on your own journey of bravery and discovery. Don't miss this extraordinary 2 Ebook combo – Your Adventure into the Heart of MacDonald's Worlds Awaits!",,2024-08-12,http://books.google.com/books/content?id=8CQZEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL15450W
One Flew Over the Cuckoo's Nest,An inmate of a mental institution tries to find the freedom and independence denied him in the outside world.,,1962,http://books.google.com/books/content?id=4KAFAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL2944469W
Lord of the Flies,The classical study of human nature which depicts the degeneration of a group of schoolboys marooned on a desert island.,9780399529207,2003,http://books.google.com/books/content?id=3KRdJZbAN_sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL455327W
Wuthering Heights,"In 1801, Lockwood, a wealthy young man from the South of England who is seeking peace and recuperation, rents Thrushcross Grange in Yorkshire. He visits his landlord, Heathcliff, who lives in a remote moorland farmhouse, Wuthering Heights. There Lockwood finds an odd assemblage: Heathcliff who seems to be a gentleman, but his manners are uncouth; the reserved mistress of the house who is in her mid-teens; and a young man who seems to be a member of the family, yet dresses and speaks as if he is a servant. After his visit to the Heights, Lockwood becomes ill, and is confined to his bed for some length of time. The Grange housekeeper, Ellen Dean, who is looking after him, tells him the story of the family at the Heights during his convalescence.",,2022-11-13,http://books.google.com/books/content?id=7kSVEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL21177W
The mysterious affair at Styles,No Description Available,9780553149814,1981,http://books.google.com/books/content?id=U2hLylCI0FgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL472715W
The princess and the goblin,A little princess is protected by her friend Curdie from the goblin miners who live beneath the castle. Copyright © Libri GmbH. All rights reserved.,,1888,http://books.google.com/books/content?id=HioVAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL6583284W
Beloved,"After the Civil War ends, Sethe longingly recalls the two-year-old daughter whom she killed when threatened with recapture after escaping from slavery 18 years before.",9780451161390,1991,http://books.google.com/books/content?id=F4_G9VzCguoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL50548W
The Last Man,"The Last Man is Mary Shelley's apocalyptic fantasy of the end of human civilisation. Set in the late twenty-first century, the novel unfolds a sombre and pessimistic vision of mankind confronting inevitable destruction. Interwoven with her futuristic theme, Mary Shelley incorporates idealised portraits of Shelley and Byron, yet rejects Romanticism and its faith in art and nature.",9780192838650,1998-07-16,http://books.google.com/books/content?id=jvzHcL0asxMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL450124W
Brave New World,"Welcome to New London. Everybody is happy here. Our perfect society achieves peace and stability by dispensing with monogamy, privacy, money, family and history itself. Now everyone belongs. You can be happy too. All you need to do is take your Soma pills.This is the brave new world of Aldous Huxley’s deeply sinister and prophetic novel, a society based on maximum pleasure and complete surveillance – no matter the cost. 'A masterpiece of speculation... As vibrant, fresh, and somehow shocking as it was when I first read it' Margaret Atwood, bestselling author of The Handmaid's Tale 'A grave warning... Provoking, stimulating, shocking and dazzling' Observer **One of the BBC's 100 Novels That Shaped Our World** INTRODUCED BY MARGARET ATWOOD AND DAVID BRADSHAW",9781407021010,2008-12-26,http://books.google.com/books/content?id=kKh5Dyqxx-QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL64468W
The Valley of Fear,"A cipher message and a horrible murder in a Sussex village begin this dark and powerful tale as Holmes battles with the forces of the criminal mastermind, Professor Moriarty. Central to the novel lies the story of a terrorist brotherhood and the hold it acquired over an American mining valley. At the end of the investigation, which Holmes declares is making him lose his wits, it is Professor Moriarty who has the final laugh. - ;A cipher message and a horrible murder in a Sussex village begin this dark and powerful tale as Holmes battles with the forces of the criminal mastermind, Professor Moriarty. Central to the novel lies the story of a terrorist brotherhood and the hold it acquired over an American mining valley. At the end of the investigation, which Holmes declares is making him lose his wits, it is Professor Moriarty who has the final laugh. -",9780192823823,1994-11-03,http://books.google.com/books/content?id=DQrkOpdimakC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL262505W
No Title,No Description Available,9781523098026,No Publish Date,http://books.google.com/books/content?id=UOReDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL471947W
Bleak House,"Complete and unabridged. Bleak House is not only a love story and a tightly plotted murder mystery, but also a condemnation of the corruption at the heart of English society. Part of the Macmillan Collector’s Library; a series of stunning, clothbound, pocket-sized classics with gold foiled edges and ribbon markers. These beautiful books make perfect gifts or a treat for any book lover. This edition has an afterword by David Stuart Davies and original illustrations by H. K. Browne. The inheritance case of Jarndyce and Jarndyce has been going on for generations involving myriad characters from all walks of life. There’s Esther Summerson, Dickens' feisty heroine; Sir Leicester and Lady Dedlock, cocooned in their stately home in Lincolnshire; and Jo, the penniless crossing sweeper. We are drawn in and fascinated by the complex relationships. Indeed in none of Charles Dickens’ other novels is the canvas broader, the sweep more inclusive, the linguistic texture richer and the gallery of comic grotesques more extraordinary.",9781529029734,2020-02-06,http://books.google.com/books/content?id=ja6oDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL14868510W
The Picture of Dorian Gray,No Description Available,,1908,http://books.google.com/books/content?id=w9A98UIGNMAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL8193416W
The Jewel of Seven Stars,"The Jewel of Seven Stars tells the tale of Malcolm Ross, a young barrister, pulled into an archaeologist's plot to revive Queen Tera, an ancient Egyptian mummy. Malcolm is awakened in the middle of the night and summoned to the house of famous Egyptologist Abel Trelawny at the request of his daughter, Margaret. Once Malcolm arrives at the house, he learns why he has been called – Margaret, hearing strange noises from her father's bedroom, woke to find him unconscious and bloodied on the floor of his room, under some sort of trance. Margaret reveals that her father had left a letter of strange instructions in the event of his incapacitation, stating that his body should not be removed from his room and must be watched at all times until he wakes up. The room is filled with Egyptian relics, and Malcolm notices that the ""mummy smell"" has an effect on those in the room.",,2022-11-13,http://books.google.com/books/content?id=qEKVEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL25073323W
The old man and the sea,No Description Available,9783190001507,1975,http://books.google.com/books/content?id=K1cIZmFe7KoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL63073W
Anne of Avonlea,"In book 2 of the Anne of Green Gables series, Anne takes a position as the only teacher in Avonlea. During her time there, she meets many new people and gets into situations only Anne Shirley could. At the end of this installment, circumstances allow her to pursue a lifelong dream with a close friend.",9781943133222,2015-07-30,http://books.google.com/books/content?id=l6dFCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL77744W
